quote_id,product_family,power_kw,weight_kg,pressure_bar,material_grade,custom_machining_hours,num_components,tolerance_class,order_quantity,lead_time_days,customer_segment,region,competitor_present,contract_type,gross_margin_kusd,final_price_kusd
Q00019,Compressor-Y,427.3,1501.0,204.9,Standard,57.0,90,Std,32,52.0,SMB,East,No,Framework,48.14,218.16
Q00020,Pump-B,64.0,262.0,44.6,Standard,37.1,214,Precision,2,76.0,MidMarket,North,No,Spot,32.74,97.02
Q00021,Compressor-X,93.8,348.0,45.9,Stainless,50.2,65,Precision,13,22.0,MidMarket,North,No,Framework,26.18,116.31
Q00022,Valve-Z,6.9,68.0,96.8,Alloy,10.4,35,Std,19,56.0,Enterprise,West,Yes,Annual,3.04,20.25
Q00023,Pump-A,34.4,145.0,231.0,Standard,24.3,51,Std,18,62.0,Enterprise,South,No,Spot,9.03,38.09
Q00024,Pump-B,94.9,399.0,21.8,Alloy,66.2,118,Ultra,44,36.0,SMB,East,Yes,Annual,16.55,117.42
Q00025,Compressor-X,155.1,572.0,76.9,Titanium,56.8,168,Precision,9,33.0,SMB,East,No,Spot,61.29,196.77
Q00026,Pump-B,87.9,358.0,247.7,Standard,67.9,77,Std,39,63.0,MidMarket,North,Yes,Spot,10.22,72.67
Q00027,Valve-Z,8.3,75.0,33.1,Standard,13.7,108,Precision,27,49.0,Enterprise,East,Yes,Annual,3.52,25.13
Q00028,Compressor-Y,299.0,1093.0,150.5,Standard,109.2,347,Ultra,3,156.0,SMB,West,No,Spot,126.53,357.72
Q00029,Valve-Z,7.6,80.0,53.0,Alloy,16.2,31,Precision,44,135.0,SMB,South,No,Spot,7.59,29.0
Q00030,Pump-B,98.7,409.0,247.2,Alloy,30.1,168,Precision,21,86.0,SMB,South,Yes,Spot,27.08,103.98
Q00031,Pump-B,53.9,264.0,161.8,Standard,78.3,130,Precision,49,99.0,MidMarket,East,No,Spot,21.97,90.98
Q00032,Pump-A,30.6,103.0,242.9,Standard,23.1,53,Precision,38,117.0,SMB,South,Yes,Spot,8.18,39.97
Q00033,Pump-B,81.2,376.0,213.7,Standard,49.9,66,Ultra,13,39.0,Enterprise,North,No,Annual,28.75,108.9
Q00034,Compressor-Y,380.8,1342.0,181.7,Standard,67.4,212,Precision,40,,Enterprise,West,Yes,Spot,22.49,214.96
Q00035,Pump-B,83.2,343.0,219.7,Stainless,65.1,68,Precision,49,,Enterprise,South,No,Annual,15.35,88.09
Q00036,Pump-B,108.6,393.0,116.2,Standard,26.5,207,Std,17,46.0,SMB,South,No,Framework,23.14,85.52
Q00037,Turbine-T,368.5,1300.0,34.0,Alloy,51.7,311,Std,14,84.0,MidMarket,West,No,Framework,61.1,300.17
Q00038,Pump-A,27.2,134.0,18.0,Stainless,15.2,31,Std,34,22.0,SMB,North,No,Annual,8.76,35.21
Q00039,Compressor-Y,276.1,1013.0,135.5,Alloy,101.0,118,Std,28,127.0,MidMarket,South,Yes,Annual,18.62,184.73
Q00040,Pump-A,27.4,141.0,155.4,Standard,39.7,62,Std,24,24.0,Enterprise,North,No,Spot,8.7,40.41
Q00041,Pump-A,38.1,123.0,108.0,Standard,15.4,36,Ultra,29,94.0,SMB,North,Yes,Framework,6.59,44.07
Q00042,Compressor-Y,399.9,1364.0,201.1,Standard,84.3,354,Std,17,128.0,MidMarket,East,No,Framework,57.92,238.07
Q00043,Valve-Z,12.2,143.0,59.1,Standard,29.3,98,Ultra,48,104.0,MidMarket,East,No,Framework,5.97,38.82
Q00044,Compressor-Y,430.3,1461.0,225.8,Alloy,56.5,110,Std,35,70.0,SMB,North,Yes,Spot,55.82,243.21
Q00045,Compressor-Y,190.5,735.0,201.6,Standard,80.0,120,Std,22,148.0,MidMarket,South,No,Annual,35.37,162.28
Q00046,Compressor-Y,334.3,1199.0,42.3,Standard,98.7,208,Ultra,27,132.0,Enterprise,South,Yes,Annual,35.35,265.66
Q00047,Valve-Z,7.6,60.0,15.7,Alloy,37.2,92,Std,44,82.0,Enterprise,South,Yes,Annual,1.25,26.63
Q00048,Pump-A,41.0,122.0,78.8,Standard,32.4,111,Std,1,74.0,SMB,East,No,Annual,17.09,51.05
Q00049,Compressor-X,123.8,459.0,75.1,Standard,61.7,207,Std,13,115.0,SMB,East,Yes,Spot,25.32,113.87
Q00050,Pump-B,72.8,310.0,218.0,Alloy,51.8,181,Std,33,40.0,MidMarket,South,No,Spot,22.67,89.2
Q00051,Valve-Z,10.7,20.0,50.8,Standard,23.1,40,Std,28,35.0,MidMarket,North,Yes,Framework,2.11,19.8
Q00052,Compressor-X,96.3,402.0,118.3,Stainless,23.6,174,Ultra,21,139.0,MidMarket,East,Yes,Spot,26.18,135.51
Q00053,Compressor-Y,325.5,1164.0,10.9,Alloy,77.5,217,Ultra,29,140.0,MidMarket,North,No,Spot,86.16,331.26
Q00054,Turbine-T,570.5,1931.0,47.0,Standard,111.0,135,Std,28,61.0,Enterprise,West,No,Framework,33.82,291.88
Q00055,Valve-Z,7.5,37.0,240.1,Alloy,17.4,30,Std,47,21.0,MidMarket,West,Yes,Spot,5.06,23.24
Q00056,Pump-A,30.8,,23.6,Titanium,37.3,88,Std,41,69.0,MidMarket,North,No,Framework,5.74,46.46
Q00057,Compressor-Y,449.2,1589.0,102.8,Standard,80.6,121,Precision,39,100.0,MidMarket,North,No,Framework,60.16,268.63
Q00058,Valve-Z,14.0,108.0,36.0,Standard,9.3,44,Ultra,14,93.0,SMB,West,No,Spot,9.56,32.89
Q00059,Pump-A,30.5,153.0,84.3,Stainless,23.7,75,Std,2,34.0,MidMarket,East,Yes,Annual,11.03,41.92
Q00060,Pump-B,85.1,370.0,74.7,Standard,76.7,198,Std,39,82.0,MidMarket,West,No,Framework,14.63,83.59
Q00061,Pump-B,68.1,263.0,138.0,Alloy,31.0,67,Std,3,145.0,Enterprise,West,Yes,Spot,13.69,69.63
Q00062,Pump-B,65.3,295.0,184.1,Stainless,61.4,203,Std,32,129.0,SMB,East,No,Framework,27.33,91.58
Q00063,Compressor-Y,406.2,,142.1,Alloy,108.0,271,Std,48,107.0,MidMarket,North,Yes,Annual,44.47,245.12
Q00064,Compressor-X,210.0,752.0,178.4,Stainless,71.6,122,Precision,30,93.0,MidMarket,East,Yes,Annual,14.0,140.51
Q00065,Compressor-X,142.5,514.0,160.9,Standard,59.0,238,Precision,45,86.0,Enterprise,West,Yes,Framework,8.78,115.74
Q00066,Pump-B,92.9,375.0,149.1,Stainless,18.9,145,Precision,5,58.0,MidMarket,South,No,Annual,31.06,97.99
Q00067,Pump-A,33.8,126.0,143.1,Stainless,13.1,72,Std,38,90.0,Enterprise,South,Yes,Framework,-0.31,28.25
Q00068,Pump-B,107.1,441.0,219.6,Standard,37.2,113,Std,3,35.0,SMB,South,No,Framework,26.6,88.06
Q00069,Turbine-T,617.1,2090.0,37.1,Stainless,113.3,135,Std,5,43.0,SMB,South,Yes,Spot,120.64,401.05
Q00070,Turbine-T,646.8,2217.0,149.7,Standard,48.0,260,Std,32,49.0,SMB,West,No,Spot,101.25,366.95
Q00071,Compressor-X,104.1,418.0,72.0,Stainless,41.1,152,Precision,1,29.0,SMB,South,Yes,Spot,42.85,137.78
Q00072,Pump-B,97.2,384.0,55.9,Standard,26.1,105,Std,39,94.0,SMB,South,Yes,Spot,16.13,72.38
Q00073,Compressor-Y,254.1,953.0,205.0,Stainless,56.9,297,Std,22,21.0,MidMarket,West,No,Framework,51.61,200.96
Q00074,Compressor-X,138.2,546.0,235.7,Stainless,59.9,142,Ultra,41,107.0,MidMarket,East,Yes,Spot,29.77,160.89
Q00075,Pump-A,40.5,167.0,136.7,Alloy,38.4,108,Std,22,55.0,MidMarket,West,No,Spot,13.72,53.07
Q00076,Pump-B,88.2,371.0,33.2,Standard,44.3,184,Precision,21,70.0,SMB,West,Yes,Annual,20.49,91.54
Q00077,Pump-A,38.9,154.0,52.6,Alloy,22.8,45,Std,28,101.0,Enterprise,South,No,Annual,8.58,41.53
Q00078,Pump-B,75.4,325.0,17.7,Stainless,73.0,83,Precision,39,135.0,SMB,South,No,Annual,22.0,95.68
Q00079,Pump-A,19.3,97.0,12.8,Stainless,27.0,75,Ultra,10,101.0,Enterprise,East,Yes,Annual,4.98,45.56
Q00080,Compressor-Y,209.5,802.0,173.5,Alloy,37.7,109,Precision,29,36.0,MidMarket,North,Yes,Spot,36.34,195.04
Q00081,Compressor-Y,227.4,831.0,172.1,Standard,60.9,186,Std,25,128.0,SMB,East,No,Spot,53.22,185.91
Q00082,Turbine-T,482.9,1628.0,53.7,Standard,88.5,200,Precision,6,98.0,SMB,North,Yes,Framework,91.54,364.27
Q00083,Compressor-Y,254.8,937.0,91.4,Stainless,78.3,274,Precision,42,127.0,SMB,West,Yes,Spot,48.1,224.06
Q00084,Valve-Z,9.1,43.0,41.8,Standard,24.9,99,Ultra,4,91.0,SMB,North,Yes,Spot,10.72,39.47
Q00085,Compressor-X,108.4,406.0,199.2,Standard,43.7,106,Precision,2,52.0,MidMarket,South,No,Annual,37.24,126.12
Q00086,Compressor-Y,206.3,740.0,163.3,Stainless,30.0,99,Std,3,31.0,SMB,North,No,Annual,70.6,195.27
Q00087,Compressor-Y,313.9,1160.0,233.9,Standard,53.0,216,Ultra,1,84.0,Enterprise,West,No,Spot,95.53,306.82
Q00088,Pump-B,51.5,243.0,90.0,Stainless,69.3,152,Std,30,32.0,SMB,South,Yes,Spot,17.11,78.07
Q00089,Pump-B,65.8,287.0,16.1,Alloy,34.0,97,Std,14,37.0,MidMarket,West,Yes,Annual,11.92,69.71
Q00090,Pump-B,73.2,295.0,119.7,Standard,31.0,102,Precision,22,95.0,MidMarket,North,No,Spot,21.09,80.93
Q00091,Valve-Z,11.4,75.0,86.5,Standard,26.6,82,Precision,10,136.0,SMB,North,No,Spot,10.71,34.95
Q00092,Turbine-T,522.3,1777.0,101.4,Standard,55.8,159,Std,44,71.0,SMB,North,No,Spot,82.45,319.31
Q00093,Turbine-T,390.9,1363.0,205.9,Titanium,54.2,359,Std,20,102.0,MidMarket,West,No,Spot,106.68,391.15
Q00094,Pump-A,26.4,152.0,249.8,Standard,36.9,54,Precision,31,153.0,MidMarket,West,No,Spot,8.6,44.0
Q00095,Turbine-T,660.1,,201.6,Standard,33.6,252,Std,11,55.0,SMB,South,Yes,Framework,81.8,347.01
Q00096,Pump-A,28.2,67.0,158.5,Stainless,11.4,112,Std,21,83.0,SMB,North,Yes,Framework,7.0,35.01
Q00097,Valve-Z,7.0,33.0,86.5,Alloy,23.6,85,Precision,27,73.0,SMB,South,No,Spot,10.68,35.53
Q00098,Compressor-X,118.3,447.0,218.6,Alloy,65.2,64,Precision,33,92.0,SMB,South,Yes,Spot,26.6,133.94
Q00099,Compressor-Y,245.5,879.0,210.9,Stainless,29.0,306,Std,24,85.0,MidMarket,North,No,Framework,35.82,176.9
Q00100,Pump-A,39.6,,9.4,Standard,20.0,91,Precision,33,39.0,Enterprise,East,Yes,Spot,4.1,39.41
Q00101,Turbine-T,626.2,2122.0,74.4,Standard,80.2,222,Ultra,36,66.0,Enterprise,South,Yes,Spot,63.42,436.58
Q00102,Pump-A,22.8,114.0,188.5,Standard,28.4,39,Std,29,22.0,SMB,South,No,Spot,10.11,37.28
Q00103,Pump-A,25.4,96.0,26.4,Standard,36.2,62,Std,15,158.0,SMB,East,No,Spot,13.8,43.75
Q00104,Pump-A,24.1,77.0,217.2,Stainless,9.0,59,Precision,33,28.0,SMB,South,No,Framework,7.68,36.26
Q00105,Valve-Z,14.3,23.0,97.0,Standard,9.0,110,Std,35,29.0,SMB,South,No,Annual,4.53,22.54
Q00106,Compressor-X,213.2,772.0,249.0,Standard,58.2,236,Std,27,32.0,Enterprise,South,No,Framework,22.61,130.55
Q00107,Pump-A,26.0,151.0,193.3,Standard,14.7,90,Ultra,14,75.0,Enterprise,East,No,Annual,10.65,48.81
Q00108,Compressor-X,114.7,480.0,89.9,Stainless,45.7,203,Precision,18,29.0,Enterprise,North,Yes,Annual,20.16,121.62
Q00109,Pump-B,65.0,280.0,151.0,Standard,23.1,95,Std,25,82.0,SMB,East,No,Annual,16.46,64.94
Q00110,Valve-Z,11.8,,71.7,Titanium,11.9,104,Std,25,110.0,SMB,West,No,Spot,11.05,34.93
Q00111,Pump-B,68.5,256.0,21.9,Standard,45.8,149,Std,48,48.0,SMB,South,Yes,Annual,11.91,67.75
Q00112,Turbine-T,545.9,1891.0,161.9,Standard,63.8,193,Std,37,107.0,MidMarket,West,No,Annual,52.74,298.21
Q00113,Pump-A,44.4,180.0,192.1,Alloy,24.5,72,Precision,44,65.0,MidMarket,South,Yes,Annual,6.8,47.83
Q00114,Turbine-T,558.2,1966.0,160.6,Alloy,84.5,207,Std,49,34.0,MidMarket,North,Yes,Spot,57.64,340.11
Q00115,Valve-Z,14.9,107.0,201.2,Alloy,28.7,98,Std,2,47.0,Enterprise,North,No,Spot,10.74,36.36
Q00116,Pump-B,78.6,324.0,152.9,Titanium,66.4,72,Precision,39,59.0,MidMarket,South,No,Framework,23.53,110.15
Q00117,Valve-Z,11.6,105.0,157.2,Standard,13.6,115,Ultra,33,52.0,MidMarket,West,No,Spot,10.24,38.27
Q00118,Turbine-T,449.6,1552.0,90.0,Standard,58.4,151,Precision,16,76.0,MidMarket,North,Yes,Spot,74.15,329.57
Q00119,Pump-B,91.5,374.0,92.3,Alloy,51.0,82,Ultra,26,40.0,SMB,East,No,Annual,26.15,119.04
Q00120,Compressor-Y,414.8,1431.0,150.3,Stainless,36.7,281,Std,35,130.0,SMB,East,Yes,Annual,37.0,214.15
Q00121,Compressor-X,203.2,744.0,33.5,Titanium,70.8,83,Precision,49,82.0,SMB,North,No,Spot,49.87,196.8
Q00122,Pump-B,55.3,236.0,171.6,Alloy,19.0,199,Precision,2,57.0,SMB,South,No,Spot,32.65,97.2
Q00123,Pump-A,39.9,159.0,62.3,Stainless,36.0,46,Ultra,9,63.0,MidMarket,West,No,Spot,19.42,67.06
Q00124,Compressor-Y,272.2,976.0,205.2,Stainless,53.7,263,Precision,24,56.0,SMB,North,No,Annual,64.17,237.27
Q00125,Compressor-Y,208.2,801.0,241.5,Standard,96.5,140,Std,28,108.0,MidMarket,East,Yes,Annual,31.01,166.17
Q00126,Compressor-Y,350.7,1260.0,69.6,Stainless,57.9,326,Precision,31,55.0,MidMarket,South,Yes,Annual,19.57,215.98
Q00127,Compressor-Y,403.5,1406.0,141.1,Stainless,32.3,114,Std,47,148.0,SMB,South,No,Spot,69.63,236.95
Q00128,Valve-Z,14.6,96.0,190.6,Standard,37.8,38,Precision,3,37.0,MidMarket,West,Yes,Spot,8.49,34.49
Q00129,Pump-A,23.4,80.0,247.7,Alloy,39.4,111,Ultra,48,109.0,MidMarket,North,Yes,Spot,10.34,60.25
Q00130,Pump-B,73.6,300.0,115.5,Standard,32.4,116,Ultra,5,137.0,SMB,West,No,Spot,33.13,107.39
Q00131,Valve-Z,13.9,61.0,189.1,Stainless,30.8,99,Std,36,117.0,MidMarket,South,No,Annual,5.6,29.48
Q00132,Pump-B,46.6,167.0,163.7,Titanium,59.9,91,Precision,30,159.0,Enterprise,South,Yes,Annual,10.13,87.39
Q00133,Turbine-T,625.8,2087.0,43.3,Standard,50.4,176,Precision,39,139.0,Enterprise,North,Yes,Framework,39.08,335.28
Q00134,Pump-A,37.7,150.0,212.7,Stainless,12.9,72,Std,35,114.0,Enterprise,East,No,Framework,3.85,33.35
Q00135,Compressor-X,187.8,677.0,186.6,Standard,72.4,210,Ultra,14,57.0,SMB,South,Yes,Spot,50.69,197.03
Q00136,Pump-A,43.1,184.0,90.4,Standard,22.3,71,Std,49,110.0,SMB,West,No,Spot,11.54,42.94
Q00137,Compressor-Y,276.0,1045.0,61.0,Standard,56.7,126,Std,36,21.0,Enterprise,East,Yes,Framework,9.05,149.4
Q00138,Compressor-Y,247.4,913.0,59.0,Alloy,116.1,148,Std,20,140.0,MidMarket,South,No,Annual,44.43,208.97
Q00139,Compressor-Y,393.8,1409.0,78.8,Standard,43.0,261,Ultra,14,93.0,MidMarket,West,No,Spot,98.97,332.83
Q00140,Pump-B,83.5,344.0,240.3,Stainless,72.1,106,Std,29,95.0,MidMarket,North,No,Spot,19.91,86.28
Q00141,Pump-A,21.9,100.0,44.0,Standard,20.8,86,Std,8,102.0,MidMarket,North,No,Framework,9.73,36.75
Q00142,Valve-Z,9.6,69.0,237.7,Standard,22.8,119,Std,27,129.0,MidMarket,East,Yes,Spot,4.45,25.8
Q00143,Compressor-Y,267.7,937.0,156.4,Standard,111.2,199,Precision,40,111.0,Enterprise,West,No,Spot,39.28,214.44
Q00144,Turbine-T,344.8,1202.0,62.2,Standard,50.6,230,Std,47,27.0,SMB,West,No,Annual,65.04,266.57
Q00145,Pump-B,72.1,295.0,238.4,Standard,53.1,233,Ultra,18,47.0,Enterprise,West,No,Spot,22.78,109.53
Q00146,Compressor-X,95.7,406.0,25.4,Standard,69.6,239,Precision,43,87.0,SMB,East,Yes,Framework,20.71,119.93
Q00147,Pump-A,37.9,168.0,51.8,Standard,25.4,83,Ultra,49,134.0,SMB,North,No,Spot,14.39,58.48
Q00148,Compressor-X,200.5,727.0,168.2,Stainless,52.7,104,Ultra,37,49.0,MidMarket,North,No,Spot,33.76,178.29
Q00149,Pump-A,18.3,80.0,207.5,Standard,11.4,112,Ultra,42,108.0,Enterprise,West,Yes,Framework,2.53,37.69
Q00150,Compressor-X,106.1,420.0,232.5,Stainless,21.7,138,Std,36,58.0,SMB,North,Yes,Spot,18.99,97.06
Q00151,Valve-Z,7.0,36.0,62.6,Standard,17.2,92,Precision,11,120.0,SMB,North,Yes,Spot,6.64,27.48
Q00152,Pump-A,41.3,246.0,28.5,Stainless,11.0,114,Ultra,13,119.0,MidMarket,North,No,Annual,17.01,62.9
Q00153,Pump-A,31.3,139.0,242.7,Standard,32.3,69,Ultra,28,69.0,SMB,East,No,Spot,14.0,57.34
Q00154,Valve-Z,13.8,37.0,127.8,Standard,36.2,98,Precision,5,31.0,Enterprise,North,Yes,Spot,9.79,36.98
Q00155,Pump-A,33.2,164.0,15.7,Standard,24.2,78,Ultra,41,78.0,SMB,West,No,Spot,14.01,56.31
Q00156,Turbine-T,409.2,1414.0,71.2,Standard,69.5,278,Precision,33,100.0,MidMarket,North,No,Spot,68.88,323.14
Q00157,Pump-A,21.8,134.0,127.3,Standard,27.0,62,Precision,19,37.0,MidMarket,West,Yes,Spot,9.56,41.67
Q00158,Valve-Z,9.8,67.0,124.6,Stainless,26.6,117,Std,46,56.0,Enterprise,East,Yes,Spot,2.29,25.4
Q00159,Compressor-X,218.2,747.0,104.7,Standard,62.3,76,Std,45,113.0,Enterprise,South,No,Annual,20.9,123.76
Q00160,Compressor-X,169.4,638.0,75.4,Standard,69.1,194,Std,19,82.0,MidMarket,West,No,Spot,38.85,138.49
Q00161,Pump-A,28.1,119.0,180.7,Standard,39.7,49,Std,23,106.0,SMB,East,Yes,Framework,9.34,40.32
Q00162,Turbine-T,727.5,2513.0,51.5,Stainless,45.0,318,Std,10,146.0,Enterprise,East,Yes,Spot,64.16,360.88
Q00163,Compressor-X,118.5,493.0,134.4,Standard,73.0,157,Std,8,,Enterprise,North,No,Annual,27.39,116.09
Q00164,Pump-B,110.3,398.0,174.2,Standard,45.4,135,Precision,25,113.0,MidMarket,North,No,Spot,26.41,100.02
Q00165,Compressor-Y,301.5,1110.0,35.7,Stainless,47.0,341,Std,18,65.0,MidMarket,East,No,Spot,61.04,219.91
Q00166,Compressor-Y,309.5,1061.0,63.6,Standard,54.3,237,Precision,39,137.0,SMB,South,No,Framework,39.69,212.03
Q00167,Compressor-X,152.6,571.0,71.9,Standard,25.1,91,Precision,12,134.0,SMB,South,Yes,Framework,20.37,114.83
Q00168,Pump-A,40.9,169.0,214.8,Stainless,15.4,32,Std,45,158.0,SMB,East,No,Framework,6.44,35.69
Q00169,Pump-B,97.8,411.0,74.3,Stainless,64.7,221,Std,1,50.0,MidMarket,North,No,Annual,32.08,104.72
Q00170,Compressor-X,179.1,640.0,234.4,Stainless,31.6,174,Std,43,114.0,SMB,East,No,Annual,21.33,118.0
Q00171,Compressor-Y,265.8,955.0,96.7,Alloy,96.8,163,Precision,16,134.0,MidMarket,South,Yes,Spot,57.33,246.47
Q00172,Turbine-T,375.6,1303.0,177.9,Stainless,117.1,351,Std,43,29.0,MidMarket,South,Yes,Framework,30.16,269.6
Q00173,Valve-Z,8.6,86.0,88.5,Standard,27.9,54,Precision,5,117.0,SMB,South,No,Framework,9.95,32.91
Q00174,Pump-B,63.2,292.0,56.5,Alloy,38.5,222,Std,30,96.0,SMB,South,Yes,Annual,14.93,78.37
Q00175,Turbine-T,419.1,1475.0,110.8,Standard,113.2,349,Ultra,41,28.0,MidMarket,West,Yes,Spot,69.97,400.43
Q00176,Pump-B,91.6,383.0,195.6,Stainless,47.2,101,Ultra,21,116.0,SMB,North,Yes,Spot,28.87,116.47
Q00177,Compressor-X,107.3,418.0,121.8,Standard,58.8,217,Precision,34,104.0,Enterprise,North,No,Framework,15.83,113.64
Q00178,Pump-A,33.4,185.0,64.9,Stainless,35.0,48,Std,20,99.0,SMB,South,No,Framework,9.86,43.1
Q00179,Compressor-Y,201.3,,58.6,Standard,73.1,170,Std,43,116.0,SMB,East,Yes,Spot,32.98,162.26
Q00180,Valve-Z,9.1,107.0,199.4,Standard,23.1,81,Std,31,137.0,Enterprise,North,No,Spot,6.22,26.6
Q00181,Pump-A,33.9,177.0,71.7,Titanium,33.9,43,Std,36,87.0,Enterprise,West,No,Annual,9.85,49.51
Q00182,Pump-A,41.2,146.0,119.9,Alloy,14.1,113,Std,21,111.0,Enterprise,East,Yes,Annual,4.88,38.88
Q00183,Valve-Z,6.1,74.0,90.6,Standard,36.1,43,Std,3,30.0,Enterprise,North,Yes,Framework,4.41,25.16
Q00184,Compressor-X,210.8,771.0,179.9,Stainless,45.2,131,Std,4,125.0,MidMarket,South,Yes,Spot,45.8,150.78
Q00185,Compressor-Y,441.9,1552.0,99.9,Stainless,100.1,107,Std,42,49.0,MidMarket,South,Yes,Spot,36.44,226.73
Q00186,Valve-Z,7.8,38.0,98.8,Alloy,31.5,64,Std,30,143.0,SMB,East,Yes,Spot,6.02,28.73
Q00187,Pump-A,43.1,200.0,99.8,Standard,14.1,92,Std,37,53.0,MidMarket,East,No,Framework,6.91,37.59
Q00188,Pump-A,29.5,147.0,116.6,Standard,35.9,69,Precision,45,66.0,MidMarket,North,Yes,Framework,4.98,41.3
Q00189,Pump-A,29.6,96.0,240.2,Standard,26.2,75,Ultra,9,44.0,Enterprise,West,No,Annual,12.92,53.44
Q00190,Compressor-X,101.4,394.0,84.8,Standard,67.4,236,Precision,13,71.0,SMB,East,No,Framework,37.81,137.17
Q00191,Valve-Z,12.7,102.0,174.4,Titanium,11.6,83,Std,5,62.0,SMB,East,No,Framework,8.86,32.89
Q00192,Pump-B,46.7,219.0,187.3,Titanium,59.2,224,Std,39,96.0,SMB,South,No,Spot,28.81,101.95
Q00193,Pump-B,96.3,399.0,100.3,Standard,27.3,133,Std,31,75.0,MidMarket,East,Yes,Framework,8.03,65.75
Q00194,Valve-Z,8.1,55.0,183.0,Standard,13.0,55,Std,22,30.0,MidMarket,East,Yes,Spot,5.12,21.3
Q00195,Pump-B,47.8,210.0,154.7,Standard,29.6,146,Std,38,69.0,MidMarket,West,No,Annual,14.17,62.32
Q00196,Pump-A,40.6,168.0,47.5,Standard,34.8,40,Precision,11,97.0,SMB,North,No,Annual,16.29,53.4
Q00197,Valve-Z,6.6,73.0,95.3,Titanium,39.0,40,Std,6,55.0,SMB,South,No,Spot,13.59,40.52
Q00198,Pump-A,36.8,148.0,103.0,Stainless,20.0,72,Ultra,1,71.0,Enterprise,South,Yes,Spot,10.79,54.03
Q00199,Compressor-X,122.8,442.0,67.0,Standard,79.8,198,Precision,49,95.0,MidMarket,North,No,Framework,29.69,135.21
Q00200,Compressor-Y,395.3,1342.0,179.1,Stainless,106.5,141,Std,19,68.0,MidMarket,East,Yes,Spot,42.64,225.09
Q00201,Turbine-T,602.6,2065.0,166.6,Alloy,59.9,270,Precision,22,23.0,SMB,South,No,Spot,145.97,477.36
Q00202,Compressor-X,169.6,631.0,143.7,Titanium,56.7,203,Std,48,142.0,MidMarket,North,No,Spot,37.86,160.26
Q00203,Pump-B,59.5,305.0,122.2,Standard,71.6,187,Std,7,65.0,MidMarket,North,Yes,Spot,23.24,85.57
Q00204,Valve-Z,13.6,85.0,167.8,Stainless,24.9,44,Std,6,76.0,SMB,North,No,Spot,10.41,31.1
Q00205,Compressor-X,207.9,780.0,124.0,Standard,72.7,204,Std,45,94.0,Enterprise,South,Yes,Annual,0.73,109.85
Q00206,Pump-B,59.2,255.0,243.3,Alloy,23.1,74,Std,14,132.0,MidMarket,East,Yes,Annual,13.46,66.4
Q00207,Compressor-Y,322.4,1175.0,84.0,Alloy,37.1,259,Std,45,116.0,MidMarket,West,No,Annual,37.13,204.66
Q00208,Pump-A,36.2,116.0,225.6,Standard,31.5,55,Ultra,7,131.0,SMB,South,No,Annual,21.27,64.2
Q00209,Compressor-X,208.4,688.0,236.8,Alloy,51.9,64,Precision,10,,MidMarket,North,Yes,Framework,39.11,163.82
