asset_id,asset_type,site,install_date,criticality,manufacturer
A0058,heat_exchanger,Plant_C,2015-09-09,medium,Crompton
A0059,motor,Plant_A,2017-04-09,low,Danfoss
A0060,valve,Plant_A,2016-12-29,medium,Danfoss
A0061,valve,Plant_C,2023-01-10,high,Acme
A0062,pump,Plant_A,2018-01-11,medium,Danfoss
A0063,heat_exchanger,Plant_A,2020-01-24,low,Danfoss
A0064,valve,Plant_A,2022-06-10,high,Bharat
A0065,motor,Plant_B,2022-10-16,high,Danfoss
A0066,pump,Plant_A,2020-05-05,high,Danfoss
A0067,motor,Plant_C,2022-03-26,medium,Bharat
A0068,valve,Plant_C,2021-01-24,medium,Bharat
A0069,pump,Plant_A,2023-10-18,low,Bharat
A0070,motor,Plant_C,2018-08-03,low,Bharat
A0071,motor,Plant_B,2023-01-05,high,Crompton
A0072,pump,Plant_B,2019-12-16,medium,Crompton
A0073,compressor,Plant_A,2020-04-20,high,Danfoss
A0074,valve,Plant_A,2022-02-12,medium,Bharat
A0075,motor,Plant_C,2017-01-09,medium,Danfoss
A0076,pump,Plant_B,2017-07-13,low,Bharat
A0077,heat_exchanger,Plant_A,2019-07-17,medium,Crompton
A0078,heat_exchanger,Plant_C,2015-05-27,low,Bharat
A0079,heat_exchanger,Plant_B,2022-03-31,medium,Crompton
A0080,valve,Plant_A,2022-10-30,medium,Crompton
A0081,motor,Plant_B,2019-10-11,low,Acme
A0082,motor,Plant_B,2018-08-18,medium,Crompton
A0083,pump,Plant_C,2016-10-21,high,Bharat
A0084,pump,Plant_C,2017-11-29,medium,Bharat
A0085,pump,Plant_C,2016-11-07,low,Bharat
A0086,heat_exchanger,Plant_A,2020-06-20,medium,Bharat
A0087,heat_exchanger,Plant_B,2023-02-08,medium,Bharat
A0088,motor,Plant_C,2015-01-07,medium,Bharat
A0089,compressor,Plant_B,2022-02-26,medium,Danfoss
A0090,heat_exchanger,Plant_B,2023-09-16,medium,Danfoss
A0091,compressor,Plant_B,2017-03-28,high,Danfoss
A0092,motor,Plant_C,2018-04-16,medium,Crompton
A0093,pump,Plant_A,2019-07-15,high,Crompton
A0094,valve,Plant_B,2023-06-06,low,Danfoss
A0095,motor,Plant_A,2015-11-06,medium,Crompton
A0096,valve,Plant_C,2018-06-24,medium,Danfoss
A0097,compressor,Plant_A,2019-03-15,low,Bharat
A0098,pump,Plant_A,2020-07-17,medium,Crompton
A0099,heat_exchanger,Plant_C,2016-03-04,low,Bharat
A0100,valve,Plant_B,2023-06-12,medium,Crompton
A0101,pump,Plant_A,2020-01-14,low,Acme
A0102,valve,Plant_A,2017-02-26,high,Crompton
A0103,pump,Plant_A,2016-05-31,medium,Crompton
A0104,valve,Plant_A,2020-01-13,low,Acme
A0105,pump,Plant_A,2023-04-11,medium,Danfoss
A0106,pump,Plant_A,2016-03-16,high,Danfoss
A0107,valve,Plant_B,2015-01-19,high,Crompton
A0108,valve,Plant_B,2023-10-18,high,Danfoss
A0109,valve,Plant_B,2015-08-04,low,Crompton
A0110,compressor,Plant_A,2018-03-13,low,Crompton
A0111,motor,Plant_C,2022-09-16,medium,Danfoss
A0112,heat_exchanger,Plant_A,2017-08-02,medium,Bharat
A0113,pump,Plant_B,2020-05-16,high,Crompton
A0114,pump,Plant_C,2023-09-04,low,Crompton
A0115,heat_exchanger,Plant_B,2018-09-25,high,Acme
A0116,motor,Plant_A,2020-03-16,high,Acme
A0117,compressor,Plant_B,2018-10-27,high,Acme
A0118,pump,Plant_A,2023-11-04,medium,Bharat
A0119,pump,Plant_C,2020-02-27,low,Danfoss
A0120,pump,Plant_B,2015-04-03,medium,Acme
A0121,motor,Plant_B,2021-08-26,medium,Crompton
A0122,valve,Plant_C,2020-02-23,low,Acme
A0123,valve,Plant_B,2023-11-08,medium,Bharat
A0124,pump,Plant_B,2015-07-17,low,Bharat
A0125,motor,Plant_A,2019-03-11,medium,Danfoss
A0126,valve,Plant_B,2023-11-17,medium,Danfoss
A0127,heat_exchanger,Plant_C,2021-02-04,medium,Bharat
A0128,valve,Plant_B,2020-06-12,medium,Bharat
A0129,motor,Plant_C,2017-09-05,high,Acme
A0130,compressor,Plant_B,2018-01-31,high,Acme
A0131,valve,Plant_B,2019-10-02,low,Danfoss
A0132,pump,Plant_C,2020-10-11,low,Bharat
A0133,compressor,Plant_A,2021-10-09,medium,Danfoss
A0134,pump,Plant_A,2020-09-12,low,Bharat
A0135,pump,Plant_B,2023-08-29,medium,Danfoss
A0136,pump,Plant_A,2020-07-01,medium,Danfoss
A0137,motor,Plant_B,2023-06-25,medium,Crompton
A0138,motor,Plant_C,2019-05-29,medium,Acme
A0139,pump,Plant_C,2020-11-22,medium,Danfoss
A0140,pump,Plant_A,2023-10-06,low,Crompton
A0141,pump,Plant_B,2016-09-15,low,Bharat
A0142,valve,Plant_C,2019-05-05,low,Crompton
A0143,pump,Plant_C,2020-12-21,low,Acme
A0144,valve,Plant_C,2023-12-22,high,Crompton
A0145,valve,Plant_A,2016-09-19,medium,Bharat
A0146,pump,Plant_B,2021-03-17,medium,Bharat
A0147,valve,Plant_B,2017-07-26,high,Danfoss
A0148,pump,Plant_B,2019-09-29,low,Danfoss
A0149,valve,Plant_C,2015-03-15,medium,Danfoss
A0150,pump,Plant_A,2021-09-19,medium,Danfoss
A0151,valve,Plant_A,2015-03-16,low,Acme
A0152,pump,Plant_B,2021-05-12,medium,Danfoss
A0153,compressor,Plant_A,2015-04-28,medium,Bharat
A0154,valve,Plant_B,2019-05-06,low,Danfoss
A0155,pump,Plant_B,2020-04-13,medium,Bharat
A0156,compressor,Plant_A,2019-05-08,low,Acme
A0157,motor,Plant_A,2019-12-03,high,Acme
A0158,heat_exchanger,Plant_B,2020-05-09,low,Crompton
A0159,motor,Plant_C,2019-10-07,low,Acme
A0160,compressor,Plant_B,2019-09-24,medium,Crompton
A0161,pump,Plant_A,2016-09-15,low,Acme
A0162,valve,Plant_B,2020-12-31,low,Danfoss
A0163,compressor,Plant_B,2023-09-13,low,Bharat
A0164,motor,Plant_A,2021-05-25,low,Danfoss
A0165,pump,Plant_B,2015-10-09,high,Crompton
A0166,compressor,Plant_A,2020-05-01,high,Bharat
A0167,pump,Plant_A,2016-01-30,low,Crompton
A0168,pump,Plant_A,2015-05-18,high,Bharat
A0169,motor,Plant_B,2022-11-15,low,Bharat
A0170,pump,Plant_A,2018-05-13,medium,Bharat
A0171,motor,Plant_A,2018-06-29,high,Crompton
A0172,pump,Plant_A,2016-08-05,medium,Crompton
A0173,compressor,Plant_A,2019-05-29,medium,Acme
A0174,compressor,Plant_B,2022-06-23,low,Acme
A0175,pump,Plant_C,2018-01-29,low,Acme
A0176,motor,Plant_B,2020-06-24,low,Crompton
A0177,pump,Plant_C,2019-12-13,low,Crompton
A0178,compressor,Plant_B,2016-06-25,medium,Danfoss
A0179,valve,Plant_A,2018-12-07,high,Bharat
A0180,motor,Plant_A,2021-01-30,high,Crompton
A0181,motor,Plant_C,2019-08-24,high,Acme
A0182,valve,Plant_A,2017-01-12,high,Danfoss
A0183,valve,Plant_A,2020-07-10,low,Acme
A0184,motor,Plant_B,2020-03-19,low,Bharat
A0185,compressor,Plant_B,2017-01-03,low,Crompton
A0186,motor,Plant_A,2019-01-12,low,Acme
A0187,valve,Plant_A,2023-04-02,high,Acme
A0188,valve,Plant_A,2018-03-17,low,Bharat
A0189,heat_exchanger,Plant_C,2022-06-09,high,Acme
A0190,compressor,Plant_C,2017-04-23,medium,Bharat
A0191,pump,Plant_B,2016-05-06,low,Danfoss
A0192,pump,Plant_A,2020-04-11,high,Bharat
A0193,compressor,Plant_B,2022-05-04,low,Danfoss
A0194,valve,Plant_B,2021-11-07,medium,Crompton
A0195,compressor,Plant_B,2017-08-24,high,Bharat
A0196,motor,Plant_A,2020-01-28,low,Crompton
A0197,valve,Plant_A,2021-04-18,high,Danfoss
A0198,compressor,Plant_A,2018-12-06,medium,Danfoss
A0199,motor,Plant_B,2016-12-06,low,Acme
A0200,valve,Plant_B,2023-01-13,low,Bharat
